,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,variant,taxonomy,note,short_ref,pmid_or_doi,citation
480,Musa velutina,velutina_kin_orr,1,0,False,19,1.9,3.2,0.1,111,1.8,564,136,0.853,0.437,1.34,,,0.169,0.139,0.21,0.00151,0.00125,0.00188,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
481,Nicotiana tabacum cv. PH,tabacum_cv_PH_kin_orr,1,0,False,21.2,2.8,4.4,0.2,96.4,1.7,452,118,0.972,0.463,1.64,,,0.207,0.161,0.284,0.00214,0.00167,0.00294,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
482,Oryza barthii/glaberrima,barthii_glaberrima_kin_orr,1,0,False,14,0.8,2.5,0,107,1.5,479,63,0.8,0.59,1.04,,,0.179,0.161,0.2,0.00167,0.0015,0.00189,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
483,Oryza eichingeri,eichingeri_kin_orr,1,0,False,14.1,1.5,2.5,0.1,107,1.2,612,180,1.01,0.425,1.71,,,0.177,0.144,0.227,0.00165,0.00134,0.00212,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
484,Oryza glaberrima (WAB 1939),glaberrimaWAB1939_kin_orr,1,0,False,14.9,0.6,2.7,0,105,1.1,586,65,1.02,0.791,1.26,,,0.181,0.168,0.197,0.00173,0.0016,0.00188,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
485,Oryza glumaepatula,glumaepatula_kin_orr,1,0,False,15.2,1.5,2.4,0.1,109,0.7,484,110,0.701,0.383,1.09,,,0.158,0.129,0.199,0.00145,0.00119,0.00183,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
486,Oryza longistaminata,longistaminata_kin_orr,1,0,False,15.1,1.1,2.2,0,108,1.3,757,175,1.02,0.544,1.53,,,0.146,0.127,0.169,0.00135,0.00118,0.00157,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
487,Oryza meridionalis,meridionalis_kin_orr,1,0,False,14.6,0.9,2.6,0,107,1.3,382,47,0.637,0.473,0.822,,,0.178,0.159,0.203,0.00167,0.00149,0.0019,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
488,Oryza nivara,nivara_kin_orr,1,0,False,15.6,1,2.7,0,107,0.6,611,100,0.991,0.662,1.36,,,0.173,0.154,0.198,0.00162,0.00144,0.00185,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
489,Oryza punctata,punctata_kin_orr,1,0,False,14.9,2.2,2.7,0.1,109,1.2,342,89,0.567,0.267,0.971,,,0.181,0.139,0.254,0.00166,0.00128,0.00235,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
490,Oryza sativa,oryza_sativa_kin_hermida_carrera,1,0,False,8,0.4,2.1,0.3,93.1,1.2,,,,,,,,0.262,0.186,0.344,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
491,Oryza sativa ssp.Indicacv.Icasulum,sativa_indica_kin_orr,1,0,False,7,1.6,2.2,0.1,101,2,269,65,0.834,0.393,1.73,,,0.313,0.214,0.574,0.00311,0.00212,0.00572,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
492,Oryza sativa ssp.Japonicacv.Nipponbare,sativa_japoinca_kin_orr,1,0,False,11.8,1.8,2.8,0.1,106,1.4,469,88,1.05,0.618,1.69,,,0.237,0.181,0.342,0.00225,0.00171,0.00325,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
493,Panicum amarum,amarum_kin_orr,1,0,False,33.1,3.9,3.2,0.1,89.5,3,800,230,0.861,0.361,1.48,,,0.0966,0.0779,0.127,0.00108,0.000862,0.00142,,,25,8,1,B,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
494,Panicum dichotomiflorum,dichotomiflorum_kin_orr,1,0,False,36.3,2.9,3.1,0.1,92.6,1.8,1.54e+03,545,1.41,0.466,2.48,,,0.0855,0.0727,0.103,0.000923,0.00078,0.00111,,,25,8,1,B,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
495,Panicum phragmitoides,phragmitoides_kin_orr,1,0,False,25.1,7.5,2.8,0.3,107,1.3,687,522,0.709,-0.359,2.59,,,0.111,0.0666,0.265,0.00104,0.000625,0.00248,,,25,8,1,B,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
496,Phaseolus carteri,carteri_kin_orr,1,0,False,14.2,1.9,3.2,0.1,84.5,2.1,422,63,1.12,0.74,1.69,,,0.225,0.176,0.306,0.00267,0.00207,0.00363,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
497,Phaseolus coccineus,coccineus_kin_orr,1,0,False,15.6,2.6,3.9,0.2,104,2.9,491,97,1.18,0.659,1.99,,,0.251,0.185,0.376,0.00242,0.00178,0.00362,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
498,Phaseolus lunatus,lunatus_kin_orr,1,0,False,17.3,1.1,3.2,0.1,101,0.7,537,78,0.983,0.684,1.3,,,0.185,0.162,0.213,0.00183,0.0016,0.00211,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
499,Phaseolus vulgaris,phaseolus_vulgaris_kin_orr,1,0,False,20.2,4.1,3.5,0.2,105,2.2,463,102,0.762,0.39,1.42,,,0.174,0.121,0.291,0.00165,0.00114,0.00277,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
500,Phaseolus vulgaris ,phaseolus_vulgaris_kin_hermida_carrera,1,0,False,7.8,0.3,1.7,0.2,99.7,2.7,,,,,,,,0.218,0.167,0.272,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
501,Poa palustris,poa_palustris_kin_orr,1,0,False,19.2,1.3,4.2,0.1,112,2.1,562,49,1.1,0.873,1.37,,,0.219,0.192,0.254,0.00196,0.00171,0.00229,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
502,Puccinellia distans,distans_kin_orr,1,0,False,22.2,2.4,5.4,0.2,104,1.9,488,61,1.14,0.8,1.59,,,0.243,0.198,0.311,0.00234,0.00189,0.003,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
503,Puccinellia lemmonii,lemmonii_kin_orr,1,0,False,28.1,5.9,5.2,0.4,102,1,1.12e+03,853,2,-0.993,6.05,,,0.185,0.126,0.321,0.00182,0.00124,0.00317,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
504,Puccinellia maritima,maritima_kin_orr,1,0,False,20.8,2.4,5.4,0.2,106,1.9,676,205,1.65,0.683,2.84,,,0.26,0.209,0.339,0.00246,0.00197,0.00321,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
505,Puccinellia nuttalliana,nuttalliana_kin_orr,1,0,False,25.2,1.8,4,0.1,105,1.1,717,138,1.08,0.653,1.56,,,0.159,0.138,0.185,0.00151,0.0013,0.00176,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
506,Pueraria montana,montana_kin_orr,1,0,False,20.9,1.6,2.7,0.1,101,1,679,138,0.869,0.509,1.28,,,0.129,0.11,0.154,0.00128,0.00109,0.00154,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
507,Saccharum officinarum,officinarum_kin_hermida_carrera,1,0,False,26.3,4,3.9,0.3,82.2,1.8,,,,,,,,0.148,0.109,0.215,,,,,,25,8,1,B,C4 plants,"sugarcane, KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
508,Solanum lycopersicum,lycopersicum_kin_hermida_carrera,1,0,False,9.7,0.4,2.3,0.2,92.4,2.3,,,,,,,,0.237,0.192,0.284,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
509,Solanum tuberosum,tuberosum_kin_hermida_carrera,1,0,False,9.6,0.2,2,0.3,95.4,2.3,,,,,,,,0.208,0.145,0.27,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
510,Sphenostylis stenocarpa,stenocarpa_kin_orr,1,0,False,17.4,1.5,2.8,0.1,93.6,3.4,574,123,0.988,0.564,1.49,,,0.161,0.135,0.196,0.00172,0.00142,0.00211,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
511,Spinacia oleracea,oleracea_kin_hermida_carrera,1,0,False,14.1,0.8,2.4,0.1,97,1.2,,,,,,,,0.17,0.149,0.196,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
512,Spinacia oleracea,oleracea_table2_jordan84,1,0,False,11,1,,,83.4,3.1,500,66,,,,,,,,,,,,,,25,8.35,1,B,C3 plants,Table 2,Jordan 1984,https://doi.org/10.1007/BF00398724,"Jordan DB, Ogren WL. 1984. The CO2/O2 specificity of ribulose 1,5-bisphosphate carboxylase/oxygenase. Dependence on ribulosebisphosphate concentration, pH and temperature. Planta 161, 308–313."
513,T. elongatus,elongatus_rate_gubernator,1,0,E. coli,54.3,8.81,2.65,0.158,82.1,7.3,841,541,0.503,-0.139,1.27,0.5,,0.0489,0.0362,0.0721,0.000599,0.000422,0.000916,20.4,1.22,25,8,1,B,Cyanobacteria,"Unclear what temperature this is at from the paper. Assumed 25 because the values in Table 2 match the 25 C point on Figure 3.  Vo calculated from ratio given in paper, table 2 gives 82.1",Gubernator 2008,17922215,"Gubernator, B., Bartoszewski, R., Kroliczewski, J., Wildner, G., and Szczepaniak, A. (2008). Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilic cyanobacterium Thermosynechococcus elongatus. Photosynth. Res. 95, 101–109."
514,Tephrosia candida,candida_kin_orr,1,0,False,15.9,3.8,2.2,0.2,97.8,2.5,481,256,0.672,-0.0481,1.8,,,0.138,0.0899,0.264,0.00141,0.000914,0.00271,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
515,Tephrosia purpurea,purpurea_kin_orr,1,0,False,12.4,1.4,2.2,0.1,103,1.1,333,72,0.575,0.312,0.884,,,0.177,0.142,0.23,0.00173,0.00138,0.00223,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
516,Tephrosia rhodesica,rhodesica_kin_orr,1,0,False,13.7,1.2,2.2,0.1,91.6,3.3,565,133,0.987,0.517,1.53,,,0.16,0.133,0.197,0.00175,0.00144,0.00217,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
517,Triticum aestivum,aestivum_kin_hermida_carrera,1,0,False,11.3,0.4,2.2,0.2,100,1.8,,,,,,,,0.195,0.158,0.233,,,,,,25,8,1,B,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
518,Triticum aestivum,aestivum_kin_orr,1,0,False,20.1,1.7,4.9,0.1,100,1.1,658,84,1.6,1.15,2.15,,,0.244,0.208,0.294,0.00244,0.00208,0.00294,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
519,Triticum baeoticum,baeoticum_kin_orr,1,0,False,19.7,4.5,3.8,0.3,96,2.5,905,297,1.8,0.624,3.97,,,0.192,0.128,0.348,0.00201,0.00133,0.00363,,,25,8,1,B,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
